f_pois,s_pois,reg_score,priority,office_id,score
159|160|370|115|269|270|455|343|344|163|162|461|397|477,159|160|370|115|269|270|455|343|344|163|162|461|397|477,0.0,1,2875,3735.0
444|435|75|446|28|382|445|243,444|435|75|446|28|382|445|243,0.0,2,3110,3510.0
96|97|260|261|434|432|66|476,96|97|260|261|434|432|66|476,0.0,3,2953,2790.0
245|195|196|341|342|35|487|488|248,245|195|196|341|342|35|487|488,0.0,4,3124,2770.0
105|106|132|478|479|107|108,105|106|132|478|479|107|108,0.0,5,3076,2520.0
65|61|76|152|274|273|212|349|350|426,65|61|76|152|274|273|212|349|350|426,0.0,6,2845,2295.0
300|299|385|345|346|63|330|329|480,300|299|385|345|346|63|330|329|480,0.0,7,2935,1665.0
185|437|438,185|437|438,0.0,8,2921,1620.0
228|141|239|393|421|460,228|141|239|393|421|460,0.0,9,2974,1620.0
319|275|276|320|74|394|441,319|275|276|320|74|394|441,0.0,10,2937,1575.0
459|242|280|279,459|242|280|279,0.0,11,2906,1440.0
69|271|272|410|411|422|423|466,69|271|272|410|411|422|423|466,0.0,12,2848,1350.0
183|184|439|144,183|184|439,0.0,13,2993,1340.0
221|367|366|131|407|464,221|367|366|131|407|464,0.0,14,3088,1305.0
181|182|388|383|414|27|308|307|174,181|182|388|383|414|27|308|307|174,0.0,15,2927,1215.0
73|314|313|425,73|314|313|425,0.0,16,2920,1170.0
156|318|317|94|436,156|318|317|94|436,0.0,17,2922,1170.0
418|428|219|214|217|218|213|9,418|428|219|214|217|218|213|9,0.0,18,2967,1170.0
240|29|481,240|481,0.0,19,2856,1120.0
194|5|187|490,194|5|187|490,0.0,20,2842,1080.0
56|233|453,56|233|453,0.0,21,2904,1080.0
287|288|440,287|288|440,0.0,22,2915,1080.0
172|33|395|491,172|33|395|491,0.0,23,3122,1035.0
6|161|380|482,6|161|380|482,0.0,24,3108,990.0
136|429,136|429,0.0,25,2985,900.0
24|430,24|430,0.0,26,2891,810.0
55|472,55|472,0.0,27,2934,810.0
58|431,58|431,0.0,28,2949,810.0
122|454,122|454,0.0,29,2968,810.0
377|449,377|449,0.0,30,2972,810.0
101|452,101|452,0.0,31,3040,810.0
93|396|473,93|396|473,0.0,32,2959,765.0
199|475,199|475,0.0,33,2984,765.0
442|215,442|215,0.0,34,3090,765.0
474,474,0.0,35,2855,720.0
471,471,0.0,36,2858,720.0
427,427,0.0,37,2859,720.0
468,468,0.0,38,2860,720.0
448,448,0.0,39,2862,720.0
458,458,0.0,40,2881,720.0
483,483,0.0,41,2918,720.0
485,485,0.0,42,2938,720.0
456,456,0.0,43,2965,720.0
486,486,0.0,44,3019,720.0
469,469,0.0,45,3027,720.0
465,465,0.0,46,3042,720.0
443,443,0.0,47,3075,720.0
467,467,0.0,48,3112,720.0
433,433,0.0,49,3158,720.0
177|178|368|2,177|178|368|2,0.0,50,2970,675.0
40|134|189|188,40|134|189|188,0.0,51,2846,630.0
203|205|293|294,203|205|293|294,0.0,52,2896,630.0
143|19|252|253,143|19|252|253,0.0,53,2925,630.0
241|197|378|389,241|197|378|389,0.0,54,3015,630.0
229|220|70,229|220|70,0.0,55,3034,630.0
190|323|324|12,190|323|324|12,0.0,56,2868,540.0
135|295|296,135|295|296,0.0,57,2885,540.0
38|100|282|281,38|100|282|281,0.0,58,2936,540.0
179|180,179|180,0.0,59,3065,540.0
149|301|302,149|301|302,0.0,60,3077,540.0
204|321|322,204|321|322,0.0,61,3117,495.0
315|316|462,,0.0,62,2861,480.0
124|289|290,124|289|290,0.0,63,2910,450.0
48|297|298,48|297|298,0.0,64,3072,450.0
386|403|285|286,386|403|285|286,0.0,65,3151,450.0
246|412,246|412,0.0,66,3004,405.0
244,244,0.0,67,2864,360.0
236,236,0.0,68,2877,360.0
83|84,83|84,0.0,69,2886,360.0
291|292,291|292,0.0,70,3083,360.0
231|391|404,231|391|404,0.0,71,3103,360.0
249,249,0.0,72,3133,360.0
87|201,87|201,0.0,73,3064,315.0
193|374,193|374,0.0,74,2870,270.0
15|17|95,15|17|95,0.0,75,2971,270.0
,315|316,0.0,76,2912,200.0
,248,0.0,77,2982,200.0
137,137,0.0,78,2849,180.0
103|216,103|216,0.0,79,2872,180.0
59|68,59|68,0.0,80,2941,180.0
64|353|354,64|353|354,0.0,81,2996,180.0
171,171,0.0,82,2998,180.0
4|49,4|49,0.0,83,3005,180.0
210|211,210|211,0.0,84,3021,180.0
57|347|348,57|347|348,0.0,85,3038,180.0
121|21,121|21,0.0,86,3069,180.0
126|116,126|116,0.0,87,3073,180.0
44|62|88,44|62|88,0.0,88,3130,180.0
130|335,130|335,0.0,89,3131,180.0
42,42|53,0.0,90,3153,140.0
373,373,0.0,91,2853,90.0
369,369,0.0,92,2887,90.0
10|90,10|90,0.0,93,2924,90.0
381,381,0.0,94,2929,90.0
372,372,0.0,95,2933,90.0
54,54,0.0,96,2946,90.0
113,113,0.0,97,2955,90.0
424,424,0.0,98,3000,90.0
39,39,0.0,99,3008,90.0
72,72,0.0,100,3028,90.0
333,333,0.0,101,3043,90.0
1,1,0.0,102,3050,90.0
14,14,0.0,103,3059,90.0
146,146,0.0,104,3078,90.0
114,114,0.0,105,3097,90.0
359|360,359|360,0.0,106,3139,90.0
20,20,0.0,107,3157,90.0
120,120,0.0,108,3166,90.0
392,392,0.0,109,2963,45.0
402,402,0.0,110,2977,45.0
405,405,0.0,111,2988,45.0
365,365,0.0,112,2997,45.0
420,420,0.0,113,3081,45.0
384,384,0.0,114,3147,45.0
,,0.0,115,2841,0.0
