f_pois,s_pois,reg_score,priority,office_id,score
754|35|4674|5018|5017|4683|4538|4610|5016|4423|5036|4395|4558|4540|4559|4676|4682|4539|4560|4519|4518|4635|7390|7220|8265|8345|11471,754|35|4674|5018|5017|4683|4538|4610|5016|5036|4540|4559|4682|4539|4560|4518|7390|7220|8265,"type                                                        foot
office_id                                                    329
geometry       POLYGON ((425524.4243862388 6181161.370290871,...
id_left                                                      656
priority                                                    None
index_right                                                17451
id_right                                                   17458
reg_id                                                 Восточный
score                                                    15850.9
Name: 328, dtype: object",1,328,17333.897082714189
2265|2153|2262|2152|1604|2172|2263|1963|2242|2233|1967|1962|2171|2241|2234|1593|1968|2264|2270|8390|9953|10672|11884,2265|2262|2152|1604|2172|2263|2264|2270|8390|11884,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 774, dtype: object",2,774,16922.739377927232
639|331|2236|1586|2239|1594|2203|1970|2217|2218|1960|2164|2160|1762|1971|1585|1595|2189|2216|2219|2188|10723,331|1970|2217|2218|1960|1971|1585|1595|2189|2216|2219|2188,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 773, dtype: object",3,773,17435.739377927232
558|144|780|5873|5872|6097|5813|5791|6098|6099|6096|5812|6576|6583|6584|7385|8107|8108|9708|9707|11683|11684,558|144|780|6097|5813|5791|6098|6099|6096|6583|7385|8107|8108|9708|9707|11683|11684,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 960, dtype: object",4,960,18040.739377927232
174|2565|2566|2600|2601|2564|10412|10495,2564|10493|10492,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 959, dtype: object",5,959,16451.739377927232
8449|8450|8451|8448|8478|8452|11415|11516,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 958, dtype: object",6,958,16372.73937792723
601|1637|1645|1838|2430|1636|1646|1829|1837|9401|9981,601|1644|1637|1645|1838|9981,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 957, dtype: object",7,957,16582.739377927232
208|6538|6519|6539|6688|6518|6540|6865|10620,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 956, dtype: object",8,956,16412.739377927232
8202|8208|9895|9896|11538,8203,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 955, dtype: object",9,955,16337.73937792723
925|4028|4029|4063|4091|4062|4092|6425|6440|6354|6462|6253|6270|8124|8126|9945,4062|4092,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 954, dtype: object",10,954,16802.739377927232
2261|2266,2261|2266,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 772, dtype: object",11,772,16302.73937792723
640|1651|1631|1724|1559|1487|1555|1473|1474|1726|1725|2257|2258|2277|2338|2349|9025|9103|9252|9652|9653|10797,1651|1631|1724|1559|1487|1555|1473|1474|1726|1725|2257|2258|2338|2349|9025|9103,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 771, dtype: object",12,771,17040.739377927232
82|78|787|6722|74|857|974|86|6725|6721|6724|6723|6720|6711|7342|8751|8748|9193|9194|9189|9616|9192|11063|11064|11061|11060,82|78|974|6725|6721|6720|6711|7342|8751|8748|9193|9194|11063|11064|11061|11060,"type                                                        foot
office_id                                                   1500
geometry       POLYGON ((417093.9296387915 6170635.000412651,...
id_left                                                     2890
priority                                                    None
index_right                                                86810
id_right                                                   87638
reg_id                                                     Южный
score                                                  0.0935119
Name: 1482, dtype: object",13,1482,17089.449549662764
960|1961|1959|1969|1972|1973|2206|2235|2240|10460|10457|10458|10459|10461,1961|1959|1969|2235|2240|1586|1594|2236|2239,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 770, dtype: object",14,770,17037.739377927232
1977|1709|2151|2125|1722|2221|1710|2230|2552|1982|2150|2126|2222|2229|2541|2149|8210|9099|11658|10877,2552|2150|2126|2222|2229,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 769, dtype: object",15,769,16737.739377927232
